SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount,Have,Missing
"10188-1",371026,4,"Black","Plates",3710,"PLATE 1X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/371026.jpg",1153
"10188-1",379426,24,"Black","Plates",3794,"PLATE 1X2 W. 1 KNOB","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/379426.jpg",346
"10188-1",379526,3,"Black","Plates",3795,"PLATE 2X6","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/379526.jpg",878
"10188-1",383226,4,"Black","Plates",3832,"PLATE 2X10","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/383226.jpg",359
"10188-1",395726,2,"Black","Signs, Flags And Poles",3957,"WHIP/AERIAL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/395726.jpg",283
"10188-1",403226,7,"Black","Plates, Special Circles And Angles",4032,"PLATE 2X2 ROUND","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/403226.jpg",602
"10188-1",407926,11,"Black","Interior",4079,"SEAT 2X2X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/407926.jpg",113
"10188-1",434926,1,"Black","Figure Accessories In Hand",4349,"MEGAPHONE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/434926.jpg",192
"10188-1",446026,2,"Black","Bricks, With Slope",4460,"ROOF TILE 1X2X3/73°","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/446026.jpg",77
"10188-1",447726,4,"Black","Plates",4477,"PLATE 1X10","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/447726.jpg",350
"10188-1",449726,2,"Black","Figure, Weapons",4497,"SPEAR","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/449726.jpg",76
"10188-1",474026,2,"Black","Plates, Special Circles And Angles",4740,"PARABOLA Ø16","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/474026.jpg",285
"10188-1",486526,6,"Black","Frames, Windows, Walls And Doors",4865,"WALL ELEMENT 1X2X1","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/486526.jpg",156
"10188-1",602026,2,"Black","Fences And Ladders",6020,"LATTICE 1X4X6 W. SNAP","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/602026.jpg",117
"10188-1",611126,1,"Black","Bricks",6111,"BRICK 1X10","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/611126.jpg",112
"10188-1",611226,2,"Black","Bricks",6112,"BRICK 1X12","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/611226.jpg",96
"10188-1",614126,18,"Black","Plates, Special Circles And Angles",6141,"ROUND PLATE 1X1","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/614126.jpg",888
"10188-1",617926,3,"Black","Plates",6179,"PLATE 4X4 W. 4 KNOBS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/617926.jpg",109
"10188-1",3200126,4,"Black","Plates, Special",32001,"1PLATE 2X6 W. HOLES","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/3200126.jpg",141
"10188-1",4100530,1,"Black","Decoration Elements",4175,"LADDER 1X2X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4100530.jpg",64
"10188-1",4106347,2,"Black","Frames, Windows, Walls And Doors",6231,"WALL CORNER 1X1X1","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4106347.jpg",110
"10188-1",4116854,2,"Black","Bricks With Bows And Arches",30099,"BRICK WITH BOW 1X5X4 INV.","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4116854.jpg",37
"10188-1",4121966,30,"Black","Bricks, With Slope",3040,"ROOF TILE 1X2/45°","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4121966.jpg",399
"10188-1",4124096,21,"Black","Functional Elements",6134,"PLATE 2X2 (ROCKING)","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4124096.jpg",315
"10188-1",4124171,2,"Black","Textiles",22231,"BLACK CAPE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4124171.jpg",82
"10188-1",4124172,1,"Black","Figure, Head Clothing",30368,"DARTH VADER HELMET","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4124172.jpg",21
"10188-1",4124493,1,"Black","Figure, Head Clothing",30381,"HOOD","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4124493.jpg",18
"10188-1",4140303,3,"Black","Signs, Flags And Poles",30374,"LIGHT SWORD - BLADE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4140303.jpg",154
"10188-1",4143180,3,"Black","Plates, Special Circles And Angles",30355,"LEFT WING 6X12","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4143180.jpg",31
"10188-1",4143181,2,"Black","Plates, Special Circles And Angles",30356,"RIGHT WING 6X12","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4143181.jpg",30
"10188-1",4143199,1,"Black","Figure Accessories In Hand",6246,"TOOL WHEEL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4143199.jpg",41
"10188-1",4159140,2,"Black","Bricks With Bows And Arches",2339,"BRICK W. BOW 1X5X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4159140.jpg",22
"10188-1",4160025,3,"Black","Plates, Special Circles And Angles",30503,"CORNER PLATE 45 DEG. 4X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4160025.jpg",94
"10188-1",4166619,1,"Black","Plates",41539,"PLATE 8X8","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4166619.jpg",65
"10188-1",4180087,2,"Black","Plates, Special Circles And Angles",43898,"PARABOLIC REFLECTOR Ø24X6,4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4180087.jpg",88
"10188-1",4185652,4,"Black","Fences And Ladders",30055,"FENCE 1X4X2 W. 2 KNOBS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4185652.jpg",44
"10188-1",4205347,1,"Black","Plates, Special Circles And Angles",30504,"CORNER PLATE 45 DEG. 8X8","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4205347.jpg",27
"10188-1",4205860,2,"Black","Plates, Special Circles And Angles",6177,"PLATE Ø63.84 W. 4 KNOBS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4205860.jpg",16
"10188-1",4209003,1,"Black","Plates, Special Circles And Angles",47397,"LEFT PLATE W. ANGLE 3X12","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4209003.jpg",44
"10188-1",4209013,1,"Black","Plates, Special Circles And Angles",47398,"RIGHT PLATE W. ANGLE 3X12","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4209013.jpg",45
"10188-1",4214559,1,"Black","Bricks, Special",47905,"BRICK 1X1 W. 2 KNOBS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4214559.jpg",110
"10188-1",4216542,2,"Black","Figure Accessories, Upper And Lower Part",30362,"LEG 1X2X2 2/3 W. SNAP","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4216542.jpg",8
"10188-1",4216660,1,"Black","Bricks, Special Circles And Angles",30367,"FINAL BRICK 2X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4216660.jpg",106
"10188-1",4223247,5,"Black","Figure Accessories, Upper And Lower Part",30377,"SPACE SKELETON ARM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4223247.jpg",145
"10188-1",4243819,1,"Black","Plates",3031,"PLATE 4X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4243819.jpg",424
"10188-1",4253815,8,"Black","Bricks, Special",52107,"BRICK 1X2 W. FOUR KNOBS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4253815.jpg",170
"10188-1",4279270,2,"Black","Fences And Ladders",30134,"STAIRCASE 7X4X6","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4279270.jpg",52
"10188-1",4289538,7,"Black","Connectors",48729,"STICK Ø 3.2 W. HOLDER","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4289538.jpg",193
"10188-1",4293186,1,"Black","Bricks, Special Circles And Angles",55440,"Round br. 2x2x2 'lmp R2 bott.'","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4293186.jpg",4
"10188-1",4293189,1,"Black","Bricks, Special Circles And Angles",55439,"End brick nr. '3'","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4293189.jpg",3
"10188-1",4295400,6,"Black","Bricks, With Slope",56570,"ROOF TILE 2x2 NO. '14'","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4295400.jpg",45
"10188-1",4297719,2,"Black","Loose Parts",56823,"STRING POLY 0,5MM ON SPOOL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4297719.jpg",90
"10188-1",4498712,5,"Black","Figure, Weapons",57899,"Blaster, Rifle","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4498712.jpg",78
"10188-1",4498713,5,"Black","Figure, Weapons",58247,"Blaster Medium","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4498713.jpg",181
"10188-1",4504382,27,"Black","Bricks, With Slope",54200,"ROOF TILE 1X1X2/3, ABS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4504382.jpg",620
"10188-1",4510072,1,"Black","Figure Parts",76382,"MINI UPPER PART NO.'1331'","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4510072.jpg",4
"10188-1",4513539,3,"Black","Frames, Windows, Walls And Doors",59349,"WALL ELEMENT 1x6x5, ABS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4513539.jpg",22
"10188-1",4515350,13,"Black","Plates, Special Circles And Angles",60474,"PLATE 4X4 ROUND W. SNAP","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4515350.jpg",171
"10188-1",4515362,4,"Black","Bricks, With Slope",60477,"ROOF TILE 1X4X1","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4515362.jpg",98
"10188-1",4517925,17,"Black","Plates, Special",61252,"PLATE 1X1 W/HOLDER VERTICAL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4517925.jpg",370
"10188-1",4517986,5,"Black","Functional Elements",61485,"BOTTOM W. TURNTABLE 4X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4517986.jpg",238
"10188-1",4523339,2,"Black","Plates, Special",4595,"MOTOR 1X2X2/3","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4523339.jpg",129
"10188-1",4533060,1,"Black","Figure Parts",76382,"MINI UPPER PART NO.1418","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4533060.jpg",2
"10188-1",4533090,2,"Black","Figure, Head Clothing",57900,"Trooper/ATST Helmet","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4533090.jpg",2
"10188-1",4533092,1,"Black","Figure, Heads And Masks",30480,"C3-PO HEAD","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4533092.jpg",1
"10188-1",4533104,2,"Black","Figure Parts",76382,"MINI UPPER PART NO.1420","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4533104.jpg",4
"10188-1",4533115,1,"Black","Figure Parts",76382,"MINI UPPER PART NO.1422","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4533115.jpg",1
"10188-1",4539347,1,"Black","Figure Parts",76382,"MINI UPPER PART NO.1437","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4539347.jpg",2
"10188-1",4548726,1,"Black","Figure Parts",76382,"MINI UPPER PART 'NO.1469'","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4548726.jpg",6
"10188-1",4567436,4,"Black","Bricks, Special Circles And Angles",85080,"BRICK 2X2W.INSIDE AND OUTS.BOW","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4567436.jpg",67
"10188-1",4650022,3,"Black","Figure Accessories, Upper And Lower Part",98313,"BAD ROBOT ARM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4650022.jpg",5
"10188-1",4658977,1,"Black","Bricks, With Slope",72454,"ROOF TILE 4X4/45° INV.","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4658977.jpg",54
"10188-1",6006739,3,"Black","Figure Accessories, Upper And Lower Part",76116,"BAD ROBOT ARM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6006739.jpg",71
"10188-1",6016279,1,"Black","Figure, Head Clothing",98011,"HOOD FOR CLOAK","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6016279.jpg",36
"10188-1",6018805,2,"Black","Plates, Special",75937,"PARABOLIC RING","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6018805.jpg",123
"10188-1",6020848,2,"Black","Bricks With Bows And Arches",76768,"BRICK W. BOW 1X5X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6020848.jpg",8
"10188-1",6030718,1,"Black","Plates, Special",12825,"PLATE 1X1 W. UP RIGHT HOLDER","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6030718.jpg",362
"10188-1",6030875,1,"Black","Figure Accessories In Hand",11402,"TOOL WHEEL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6030875.jpg",30
"10188-1",6037449,1,"Black","Rubbers And Strings",14210,"STRING 21M W. SHAFT Ø3,2 W. 2 KNOPS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6037449.jpg",9
"10188-1",6061032,2,"Black","Plates, Special",10247,"PLATE 2X2 + ONE HULE Ø4,8","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6061032.jpg",146
"10188-1",6066113,4,"Black","Fences And Ladders",15332,"FENCE 1X4X2 W. 4 KNOBS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6066113.jpg",53
"10188-1",6089577,6,"Black","Plates, Special",10201,"ANGLE PLATE 1X2/1X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6089577.jpg",85
"10188-1",6096958,1,"Black","Rubbers And Strings",14210,"STRING 21M W. SHAFT Ø3,2 W. 2 KNOPS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6096958.jpg",26
"10188-1",6116604,3,"Black","Signs, Flags And Poles",21462,"LIGHT SWORD - BLADE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6116604.jpg",220
"10188-1",6123920,2,"Black","Rubbers And Strings",23197,"100% POLYESTER YARN Ø0,5MM,1,0M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6123920.jpg",1
"10188-1",370526,11,"Black","Connectors",3705,"CROSS AXLE 4M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/370526.jpg",1147
"10188-1",370626,2,"Black","Connectors",3706,"CROSS AXLE 6M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/370626.jpg",866
"10188-1",370726,2,"Black","Connectors",3707,"CROSS AXLE 8M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/370726.jpg",565
"10188-1",370826,2,"Black","Connectors",3708,"CROSS AXLE 12M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/370826.jpg",410
"10188-1",373726,1,"Black","Connectors",3737,"CROSS AXLE 10M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/373726.jpg",470
"10188-1",4107081,6,"Black","Connectors",32039,"CATCH W. CROSS HOLE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4107081.jpg",376
"10188-1",4107084,6,"Black","Connectors",32015,"ANGLE ELEMENT, 112,5 DEGR. [5]","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4107084.jpg",135
"10188-1",4107767,4,"Black","Connectors",32014,"ANGLE ELEMENT, 90 DEGREES [6]","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4107767.jpg",134
"10188-1",4107783,3,"Black","Connectors",32034,"ANGLE ELEMENT, 180 DEGREES [2]","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4107783.jpg",243
"10188-1",4111998,2,"Black","Beams",32009,"DOUBLE ANGULAR BEAM 3X7 45°","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4111998.jpg",114
"10188-1",4121667,4,"Black","Beams, Special",32184,"DOUBLE CROSS BLOCK","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4121667.jpg",190
"10188-1",4121715,16,"Black","Connectors",2780,"CONNECTOR PEG W. FRICTION","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4121715.jpg",2210
"10188-1",4128557,2,"Black","Half Beams",32250,"HALFBEAM CURVE 3X5","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4128557.jpg",60
"10188-1",4142135,2,"Black","Beams",32316,"TECHNIC 5M BEAM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4142135.jpg",279
"10188-1",4142236,3,"Black","Half Beams",32449,"LEVER 1X4, WITHOUT NOTCH","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4142236.jpg",129
"10188-1",4156150,1,"Black","Beams",32525,"TECHNIC 11M BEAM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4156150.jpg",69
"10188-1",4177431,6,"Black","Functional Elements, Gear Wheels And Racks",32270,"DOUBLE CONICAL WHEEL Z12 1M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4177431.jpg",437
"10188-1",4177444,2,"Black","Beams",43857,"TECHNIC 2M BEAM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4177444.jpg",107
"10188-1",4501290,3,"Black","Tubes",32200,"FLEX ROD 12M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4501290.jpg",14
"10188-1",6029578,1,"Black","Beams",64290,"TECHNIC 11M BEAM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/6029578.jpg",87
"10188-1",4107623,1,"Brick Yellow","Figure Parts",73200,"MINI LOWER PART, BRICK YELLOW","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4107623.jpg",108
"10188-1",4124069,1,"Brick Yellow","Figure, Wigs",3901,"MINI WIG MAN","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4124069.jpg",40
"10188-1",4183248,1,"Brick Yellow","Animals And Creatures",43892,"ELEPHANT TAIL/TRUNK","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4183248.jpg",4
"10188-1",4278422,14,"Brick Yellow","Plates, Special Circles And Angles",2654,"SLIDE SHOE ROUND 2X2","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4278422.jpg",125
"10188-1",4510084,1,"Brick Yellow","Figure Parts",76382,"MINI UPPER PART NO.'1336'","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4510084.jpg",4
"10188-1",4513706,1,"Brick Yellow","Figure Parts",60633,"MINI LOWER PART no 113","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4513706.jpg",4
"10188-1",4655371,2,"Brick Yellow","Figure, Wigs",96859,"MINI WIG, GIRL","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4655371.jpg",11
"10188-1",4666579,2,"Brick Yellow","Connectors",6562,"CONNECTOR PEG/CROSS AXLE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4666579.jpg",909
"10188-1",302023,2,"Bright Blue","Plates",3020,"PLATE 2X4","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/302023.jpg",463
"10188-1",403223,9,"Bright Blue","Plates, Special Circles And Angles",4032,"PLATE 2X2 ROUND","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/403223.jpg",148
"10188-1",4143005,17,"Bright Blue","Connectors",4274,"CONNECTOR PEG W. KNOB","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4143005.jpg",910
"10188-1",4206482,9,"Bright Blue","Connectors",43093,"CONN.BUSH W.FRIC./CROSSALE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4206482.jpg",1625
"10188-1",4509376,2,"Bright Blue","Beams",32523,"TECHNIC 3M BEAM","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4509376.jpg",50
"10188-1",4514553,1,"Bright Blue","Connectors",6558,"CONNECTOR PEG W. FRICTION 3M","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4514553.jpg",822
"10188-1",9342,2,"Bright Red","Figure Parts",73200,"MINI BODY LOWERPART RED","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/9342.jpg",248
"10188-1",74335,4,"Bright Red","Signs, Flags And Poles",73587,"MINI ANTENNA ASS.RED/BLA","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/74335.jpg",190
"10188-1",403221,3,"Bright Red","Plates, Special Circles And Angles",4032,"PLATE 2X2 ROUND","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/403221.jpg",296
"10188-1",415021,3,"Bright Red","Plates, Special Circles And Angles",4150,"FLAT TILE 2X2, ROUND","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/415021.jpg",40
"10188-1",614121,4,"Bright Red","Plates, Special Circles And Angles",6141,"ROUND PLATE 1X1","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/614121.jpg",564
"10188-1",614321,2,"Bright Red","Bricks, Special Circles And Angles",6143,"BRICK Ø16 W. CROSS","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/614321.jpg",214
"10188-1",654121,6,"Bright Red","Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"TECHNIC BRICK 1X1","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/654121.jpg",113
"10188-1",4143210,2,"Bright Red","Textiles",23375,"RED CAPE","https://www.lego.com/cdn/product-assets/element.img.lod5photo.192x192/4143210.jpg",36
